8 4
22.5 67.5 390.165043
67.5 67.5 390.165043
112.5 67.5 390.165043
157.5 67.5 390.165043
202.5 67.5 390.165043
247.5 67.5 390.165043
292.5 67.5 390.165043
337.5 67.5 390.165043
22.5 22.5 -140.165043
67.5 22.5 -140.165043
112.5 22.5 -140.165043
157.5 22.5 -140.165043
202.5 22.5 -140.165043
247.5 22.5 -140.165043
292.5 22.5 -140.165043
337.5 22.5 -140.165043
22.5 -22.5 -140.165043
67.5 -22.5 -140.165043
112.5 -22.5 -140.165043
157.5 -22.5 -140.165043
202.5 -22.5 -140.165043
247.5 -22.5 -140.165043
292.5 -22.5 -140.165043
337.5 -22.5 -140.165043
22.5 -67.5 390.165043
67.5 -67.5 390.165043
112.5 -67.5 390.165043
157.5 -67.5 390.165043
202.5 -67.5 390.165043
247.5 -67.5 390.165043
292.5 -67.5 390.165043
337.5 -67.5 390.165043
